"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Minnesota"	"27"	"2012"	"2012"	"Sunday"	"1"	72	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2012"	"2012"	"Monday"	"2"	69	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2012"	"2012"	"Tuesday"	"3"	66	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2012"	"2012"	"Wednesday"	"4"	61	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2012"	"2012"	"Thursday"	"5"	80	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2012"	"2012"	"Friday"	"6"	68	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2012"	"2012"	"Saturday"	"7"	62	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2012"	"2012"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Sunday"	"1"	92	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Monday"	"2"	66	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Tuesday"	"3"	61	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Wednesday"	"4"	76	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Thursday"	"5"	64	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Friday"	"6"	73	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Saturday"	"7"	85	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Sunday"	"1"	78	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Monday"	"2"	71	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Tuesday"	"3"	78	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Wednesday"	"4"	75	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Thursday"	"5"	55	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Friday"	"6"	79	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Saturday"	"7"	73	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Sunday"	"1"	94	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Monday"	"2"	83	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Tuesday"	"3"	69	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Wednesday"	"4"	71	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Thursday"	"5"	77	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Friday"	"6"	90	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Saturday"	"7"	93	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"1999"	"1999"	"Sunday"	"1"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"1999"	"1999"	"Monday"	"2"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"1999"	"1999"	"Tuesday"	"3"	12	Not Applicable	Not Applicable
	"Mississippi"	"28"	"1999"	"1999"	"Wednesday"	"4"	12	Not Applicable	Not Applicable
	"Mississippi"	"28"	"1999"	"1999"	"Thursday"	"5"	15	Not Applicable	Not Applicable
	"Mississippi"	"28"	"1999"	"1999"	"Friday"	"6"	14	Not Applicable	Not Applicable
	"Mississippi"	"28"	"1999"	"1999"	"Saturday"	"7"	21	Not Applicable	Not Applicable
	"Mississippi"	"28"	"1999"	"1999"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2000"	"2000"	"Sunday"	"1"	15	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2000"	"2000"	"Monday"	"2"	18	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2000"	"2000"	"Tuesday"	"3"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2000"	"2000"	"Wednesday"	"4"	13	Not Applicable	Not Applicable
